№,Адрес,Име на училище,Вид училище по чл. 10 от ЗНП,Вид училище по чл. 26от ЗНП
2299,"Зетьово, Стара Загора, Чирпан, 6220, с. Зетьово ул. "" Марица "" №2","Основно училище "" Отец Паисий """,община,основно (І - VІІІ клас)
2300,"Свобода, Стара Загора, Чирпан, ""Детелина"" 5, 6230","Основно училище ""Кирил и Методий""",община,основно с (присъединена) група в детска градина
2301,"Чирпан, Стара Загора, Чирпан, 6200, ул. ""П.К.Яворов"" 6","Средно общообразователно училище ""Пейо Крачолов Яворов""",община,СОУ с (присъединена) група в детска градина
2302,"Стара Загора, Чирпан, Чирпан, 6200, ул.""Георги Димитров "" № 78",Професионална   гимназия  по   селско  стопанство,Министерство на земеделието и храните,професионална гимназия
2303,"Чирпан, Стара Загора, Чирпан, 6200, ул. ""В.Левски"" 23","Основно училище ""Васил Левски""",община,основно с (присъединена) група в детска градина
2304,"Чирпан, Стара Загора, Чирпан, 6200, ул . "" Шарампол""  26","Основно училище  ""Свети свети Кирил и Методий""",община,основно с (присъединена) група в детска градина
2305,"Чирпан, Стара Загора, Чирпан, 6200, ул. ""Антон Иванов"" 12","Начално училище ""Свети Климент Охридски""",община,начално с (присъединена) група в детска градина
2306,"Антоново, Търговище, Антоново, Бул. ""Тузлушки герой"" №20, 7970","Средно общообразователно  училище    ""Свети Свети  Кирил и Методий""",община,СОУ (І - ХІІ клас)
2307,"Търговище, Антоново, Изворово, 7950, с.Изворово, общ.Антоново","Начално училище ""Д-р Петър Берон""",община,начално (І - ІV клас)
2308,"Стеврек, Търговище, Антоново, с.Стеврек, 7960","Основно Училище  ""Никола Йонков Вапцаров""",община,основно (І - VІІІ клас)
2309,"Търговище, Антоново, Трескавец, 7994, ул.Бузлуджа 2",Основно училище   Никола Йонков Вапцаров,община,основно (І - VІІІ клас)
2310,"Омуртаг, Търговище, Беломорци, с.Беломорци  ул.""Иван Станков""№20, 7917","Основно училище ""Георги Бенковски""",община,основно (І - VІІІ клас)
2311,"Врани кон, Търговище, Омуртаг, 7940, ул. ""Вапцаров"" 6","Основно училище   ""Никола Йонков Вапцаров""",община,основно (І - VІІІ клас)
